City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,kruisfontein,-34.0033,24.7314,20.61,92,41,1.82,ZA,1737586870
319,kunyang,27.6658,120.5658,12.56,86,100,1.59,CN,1737586806
320,talara,-4.5772,-81.2719,25.42,65,0,5.66,PE,1737586872
321,timbuktu,16.7735,-3.0074,23.99,10,0,4.31,ML,1737586873
322,gbarnga,6.9956,-9.4722,21.75,97,14,0.87,LR,1737586874
323,puerto aysen,-45.4,-72.7,12.13,99,100,1.48,CL,1737586875
324,shiguai,40.7058,110.2856,-5.78,54,26,1.06,CN,1737586818
325,flin flon,54.7682,-101.865,-16.09,72,75,0.0,CA,1737586877
326,fort stockton,30.894,-102.8793,13.2,10,0,3.6,US,1737586878
327,hilo,19.7297,-155.09,27.28,68,40,4.12,US,1737586739
328,mersa matruh,31.3525,27.2453,13.11,82,40,3.09,EG,1737586881
329,canmore,51.0834,-115.3521,0.06,40,11,4.12,CA,1737586882
330,ilhabela,-23.7781,-45.3581,26.48,89,100,0.55,BR,1737586883
331,sampit,-2.5333,112.95,23.11,98,100,0.99,ID,1737586884
332,urengoy,65.9667,78.3667,-30.55,93,88,8.63,RU,1737586885
333,saint-francois,46.4154,3.9054,12.03,73,0,3.6,FR,1737586886
334,kamaishi,39.2667,141.8833,3.17,80,61,1.56,JP,1737586887
335,weiser,44.251,-116.9693,0.91,43,2,0.73,US,1737586888
336,sola,-13.8833,167.55,28.58,76,68,4.58,VU,1737586889
337,hammerfest,70.6634,23.6821,-3.75,80,75,4.63,NO,1737586890
338,maloye ganyushkino,46.6,49.2667,-7.28,70,11,8.26,KZ,1737586891
339,lompoc,34.6391,-120.4579,23.07,21,40,2.06,US,1737586690
340,shalqar,47.8333,59.6,-25.51,90,5,1.06,KZ,1737586893
341,al bardiyah,31.7561,25.0865,13.79,70,1,4.46,LY,1737586894
342,adelia maria,-33.6315,-64.021,34.03,16,0,4.43,AR,1737586895
343,ketchikan,55.3422,-131.6461,7.21,96,100,0.45,US,1737586896
344,vorkuta,67.5,64.0,-29.86,99,100,3.91,RU,1737586897
345,ulety,51.3572,112.4849,-22.64,99,15,0.37,RU,1737586898
346,kolonia,50.9333,6.95,4.58,92,75,5.14,DE,1737586899
347,colotlan,22.1,-103.2667,23.25,18,0,4.9,MX,1737586900
348,pangai,-19.8,-174.35,30.06,79,40,2.57,TO,1737586901
349,rio san juan,19.6439,-70.0763,24.27,91,2,4.02,DO,1737586902
350,embi,48.8264,58.1442,-30.94,100,26,1.47,KZ,1737586903
351,broken hill,-31.95,141.4333,24.38,29,83,3.96,AU,1737586746
352,tilcara,-23.5776,-65.3509,10.37,99,99,2.33,AR,1737586906
353,igarka,67.4667,86.5833,-31.67,88,100,7.72,RU,1737586907
354,peterhead,57.5058,-1.7981,3.84,80,14,0.79,GB,1737586908
355,lazaro cardenas,17.9583,-102.2,27.43,56,0,3.73,MX,1737586909
356,al bawiti,28.3492,28.8659,13.14,79,0,3.23,EG,1737586912
357,lihue,21.9789,-159.3672,23.19,68,0,7.2,US,1737586640
358,champerico,14.3,-91.9167,27.87,69,0,4.51,GT,1737586915
359,lianhe,47.1333,129.2667,-20.09,100,48,0.82,CN,1737586916
